event_id,animal,block,block_key,primary_on_ms,eye,saccade_on_ms,saccade_off_ms,amp_deg,overall_angle_deg,latency_ms,angle_diff_deg,direction_class,smaller_than_primary
PV_106_008_484605_L,PV_106,008,PV_106_block_008,484605.4,L,484771.9,484805.2,7.148312160829165,127.12616120476973,166.5,28.135455826538987,same,True
PV_106_008_484605_L,PV_106,008,PV_106_block_008,484605.4,R,484771.9,484788.55,0.6444170695944643,162.51893665762105,166.5,7.257319626312324,same,True
PV_106_008_549257_L,PV_106,008,PV_106_block_008,549257.35,L,549307.3,549340.6,1.3958936648736784,227.57321468166356,49.95000000006985,150.8204585592399,reverse,True
PV_106_008_549257_L,PV_106,008,PV_106_block_008,549257.35,L,549373.9,549390.55,0.5696152373164949,240.54243974319434,116.55000000004657,137.85123349770913,reverse,True
PV_106_008_549257_L,PV_106,008,PV_106_block_008,549257.35,R,549373.9,549390.55,0.5687954103356178,123.90899955569137,116.55000000004657,105.5153263147879,reverse,True
PV_106_008_861778_R,PV_106,008,PV_106_block_008,861777.85,L,861877.75,861911.05,1.2722300830323845,208.58937224009625,99.90000000002328,62.25519723987108,same,True
PV_106_008_50656_L,PV_106,008,PV_106_block_008,50656.45,L,50789.65,50806.3,0.7370297222012084,271.1935511917979,133.20000000000437,26.57628685187484,same,True
PV_106_008_489600_L,PV_106,008,PV_106_block_008,489600.4,L,489617.05,489683.65,7.4909709459000435,156.32749978666345,16.649999999965075,174.1793425986604,reverse,False
PV_106_008_865391_L,PV_106,008,PV_106_block_008,865390.9,L,865474.15,865490.8,0.9201023260442243,49.423472359624704,83.25,111.51747924409975,reverse,True
PV_106_008_865391_L,PV_106,008,PV_106_block_008,865390.9,L,865490.8,865507.45,1.599362085273009,235.76101516986054,99.90000000002328,74.8200635661361,same,True
PV_106_008_922567_L,PV_106,008,PV_106_block_008,922567.0,L,922716.85,922766.8,8.538926313180031,185.2078512431227,149.84999999997672,103.42168628425557,reverse,True
PV_106_008_922567_L,PV_106,008,PV_106_block_008,922567.0,R,922716.85,922733.5,2.2178477071708143,157.05312398533164,149.84999999997672,131.57641354204662,reverse,True
PV_106_008_609380_R,PV_106,008,PV_106_block_008,609380.5,L,609563.65,609580.3,2.3416493884447225,144.5042562210607,183.15000000002328,112.46100752350969,reverse,True
PV_106_008_609380_R,PV_106,008,PV_106_block_008,609380.5,L,609580.3,609646.9,4.3465990803406855,264.236052212438,199.80000000004657,7.27078846786759,same,True
PV_106_009_283753_L,PV_106,009,PV_106_block_009,283753.3,L,283953.1,284003.05,5.7332594731377515,158.6767017162038,199.79999999998836,10.294063687726492,same,True
PV_106_009_283753_L,PV_106,009,PV_106_block_009,283753.3,R,283969.75,284003.05,3.3651088445698267,39.285517866736356,216.45000000001164,129.68524753719396,reverse,True
PV_106_009_408811_L,PV_106,009,PV_106_block_009,408811.45,L,409044.55,409111.15,3.502145097608535,161.58209279889607,233.09999999997672,3.3497441468448983,same,True
PV_106_009_408811_L,PV_106,009,PV_106_block_009,408811.45,R,409044.55,409077.85,4.337002094702837,44.252372033720086,233.09999999997672,113.97997661833108,reverse,True
PV_106_009_933370_L,PV_106,009,PV_106_block_009,933369.7,L,933436.3,933486.25,10.80568063964905,189.88883052713777,66.60000000009313,164.24283418493025,reverse,True
PV_106_009_933370_L,PV_106,009,PV_106_block_009,933369.7,R,933469.6,933486.25,0.7424702298173514,209.6680945286325,99.90000000002328,144.4635701834355,reverse,True
PV_106_009_237250_L,PV_106,009,PV_106_block_009,237249.85,L,237349.75,237383.05,1.277823428804032,266.11754467400556,99.89999999999418,32.946885927806306,same,True
PV_106_009_262408_L,PV_106,009,PV_106_block_009,262408.0,R,262607.8,262691.05,7.513740734726567,254.52378977687422,199.79999999998836,98.36591009292513,reverse,True
PV_106_009_316371_L,PV_106,009,PV_106_block_009,316370.65,L,316470.55,316487.2,0.8109444661394781,107.39679275162854,99.89999999996508,179.94615472585093,reverse,True
