animal,block_key,block_num,mounted,analysis_dir,left_csv,right_csv,n_left,n_right,ready,skip,reason,block_path
PV_106,PV_106_block_008,008,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,52088,53467,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008
PV_106,PV_106_block_009,009,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,49552,50909,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_009
PV_106,PV_106_block_010,010,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,47864,47199,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_010
PV_106,PV_106_block_011,011,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,108836,118384,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_011
PV_106,PV_106_block_012,012,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,80588,92811,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_012
PV_143,PV_143_block_001,001,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,58033,65020,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_143/2025_08_25/block_001
PV_143,PV_143_block_002,002,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,52763,44031,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_143/2025_08_25/block_002
PV_143,PV_143_block_003,003,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,60204,61673,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_143/2025_08_25/block_003
PV_143,PV_143_block_004,004,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,45208,31402,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_143/2025_08_25/block_004
PV_62,PV_62_block_024,024,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,91550,89822,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_62/2023_04_27/block_024
PV_62,PV_62_block_026,026,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,98336,98273,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_62/2023_04_27/block_026
PV_62,PV_62_block_038,038,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,140058,144710,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_62/2023_05_01/block_038
PV_126,PV_126_block_007,007,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,120410,119594,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_126/2024_07_18/block_007
PV_126,PV_126_block_008,008,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,100300,116779,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_126/2024_07_18/block_008
PV_126,PV_126_block_009,009,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,123935,101613,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_126/2024_07_18/block_009
PV_126,PV_126_block_010,010,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,126710,119716,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_126/2024_07_18/block_010
PV_126,PV_126_block_011,011,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,108244,108676,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_126/2024_08_13/block_011
PV_126,PV_126_block_012,012,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,50148,50781,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_126/2024_08_13/block_012
PV_57,PV_57_block_007,007,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,53478,50049,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_57/2024_11_25/block_007
PV_57,PV_57_block_008,008,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,53318,52995,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_57/2024_11_25/block_008
PV_57,PV_57_block_009,009,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,37763,38890,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_57/2024_11_25/block_009
PV_57,PV_57_block_012,012,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,53022,52936,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_57/2024_12_01/block_012
PV_57,PV_57_block_013,013,True,True,left_eye_data_degrees_raw_verified.csv,right_eye_data_degrees_raw_verified.csv,47768,48608,True,False,ok,/Volumes/Data-1/Nimrod/experiments/PV_57/2024_12_01/block_013
