eye_radius_mm,observable_distance_mm,occlusion_limited_range_deg
1.5,1.0,38.94
1.5,1.1,43.02
1.5,1.2,47.16
1.5,1.3,51.36
1.5,1.4,55.64
1.5,1.5,60.0
1.5,1.6,64.46
1.5,1.7,69.04
1.5,1.8,73.74
1.5,1.9,78.59
1.5,2.0,83.62
1.6,1.0,36.42
1.6,1.1,40.21
1.6,1.2,44.05
1.6,1.3,47.94
1.6,1.4,51.89
1.6,1.5,55.91
1.6,1.6,60.0
1.6,1.7,64.18
1.6,1.8,68.46
1.6,1.9,72.85
1.6,2.0,77.36
1.7,1.0,34.21
1.7,1.1,37.75
1.7,1.2,41.33
1.7,1.3,44.96
1.7,1.4,48.63
1.7,1.5,52.36
1.7,1.6,56.14
1.7,1.7,60.0
1.7,1.8,63.93
1.7,1.9,67.95
1.7,2.0,72.06
1.8,1.0,32.26
1.8,1.1,35.58
1.8,1.2,38.94
1.8,1.3,42.34
1.8,1.4,45.77
1.8,1.5,49.25
1.8,1.6,52.78
1.8,1.7,56.36
1.8,1.8,60.0
1.8,1.9,63.71
1.8,2.0,67.5
1.9,1.0,30.52
1.9,1.1,33.65
1.9,1.2,36.82
1.9,1.3,40.01
1.9,1.4,43.24
1.9,1.5,46.5
1.9,1.6,49.8
1.9,1.7,53.15
1.9,1.8,56.55
1.9,1.9,60.0
1.9,2.0,63.51
2.0,1.0,28.96
2.0,1.1,31.92
2.0,1.2,34.92
2.0,1.3,37.93
2.0,1.4,40.97
2.0,1.5,44.05
2.0,1.6,47.16
2.0,1.7,50.3
2.0,1.8,53.49
2.0,1.9,56.72
2.0,2.0,60.0
2.1,1.0,27.55
2.1,1.1,30.37
2.1,1.2,33.2
2.1,1.3,36.06
2.1,1.4,38.94
2.1,1.5,41.85
2.1,1.6,44.79
2.1,1.7,47.75
2.1,1.8,50.75
2.1,1.9,53.79
2.1,2.0,56.87
2.2,1.0,26.27
2.2,1.1,28.96
2.2,1.2,31.65
2.2,1.3,34.37
2.2,1.4,37.11
2.2,1.5,39.86
2.2,1.6,42.65
2.2,1.7,45.46
2.2,1.8,48.3
2.2,1.9,51.17
2.2,2.0,54.07
2.3,1.0,25.11
2.3,1.1,27.67
2.3,1.2,30.24
2.3,1.3,32.83
2.3,1.4,35.44
2.3,1.5,38.06
2.3,1.6,40.71
2.3,1.7,43.38
2.3,1.8,46.07
2.3,1.9,48.79
2.3,2.0,51.54
2.4,1.0,24.05
2.4,1.1,26.5
2.4,1.2,28.96
2.4,1.3,31.43
2.4,1.4,33.92
2.4,1.5,36.42
2.4,1.6,38.94
2.4,1.7,41.48
2.4,1.8,44.05
2.4,1.9,46.64
2.4,2.0,49.25
2.5,1.0,23.07
2.5,1.1,25.42
2.5,1.2,27.77
2.5,1.3,30.14
2.5,1.4,32.52
2.5,1.5,34.92
2.5,1.6,37.33
2.5,1.7,39.75
2.5,1.8,42.2
2.5,1.9,44.67
2.5,2.0,47.16
2.6,1.0,22.17
2.6,1.1,24.43
2.6,1.2,26.68
2.6,1.3,28.96
2.6,1.4,31.24
2.6,1.5,33.53
2.6,1.6,35.84
2.6,1.7,38.16
2.6,1.8,40.5
2.6,1.9,42.86
2.6,2.0,45.24
2.7,1.0,21.34
2.7,1.1,23.51
2.7,1.2,25.68
2.7,1.3,27.86
2.7,1.4,30.05
2.7,1.5,32.26
2.7,1.6,34.47
2.7,1.7,36.7
2.7,1.8,38.94
2.7,1.9,41.2
2.7,2.0,43.48
2.8,1.0,20.57
2.8,1.1,22.66
2.8,1.2,24.75
2.8,1.3,26.85
2.8,1.4,28.96
2.8,1.5,31.07
2.8,1.6,33.2
2.8,1.7,35.34
2.8,1.8,37.5
2.8,1.9,39.67
2.8,2.0,41.85
2.9,1.0,19.86
2.9,1.1,21.87
2.9,1.2,23.88
2.9,1.3,25.9
2.9,1.4,27.94
2.9,1.5,29.98
2.9,1.6,32.03
2.9,1.7,34.09
2.9,1.8,36.16
2.9,1.9,38.24
2.9,2.0,40.34
3.0,1.0,19.19
3.0,1.1,21.13
3.0,1.2,23.07
3.0,1.3,25.03
3.0,1.4,26.99
3.0,1.5,28.96
3.0,1.6,30.93
3.0,1.7,32.92
3.0,1.8,34.92
3.0,1.9,36.92
3.0,2.0,38.94
