block_key,animal,block,lizmov_path,n_eye_saccades,n_unique_events,n_head_moving,n_head_still,note
PV_106_block_008,PV_106,008,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_008/oe_files/PV106_ET_d3t12025-08-06_11-52-19/Record Node 102/analysis/recNames=Block008,Animal=PV_106/lizMov.mat",1459,1042,712,330,
PV_106_block_009,PV_106,009,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_009/oe_files/PV106_ET_d3t2_2025-08-06_12-09-43/Record Node 102/analysis/recNames=Block009,Animal=PV_106/lizMov.mat",734,492,344,148,
PV_106_block_010,PV_106,010,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_010/oe_files/PV106_ET_d3t3_2025-08-06_12-26-43/Record Node 102/analysis/recNames=Block010,Animal=PV_106/lizMov.mat",797,578,313,265,
PV_106_block_011,PV_106,011,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_011/oe_files/PV106_ET_d3t4_2025-08-06_12-44-30/Record Node 102/analysis/recNames=Block011,Animal=PV_106/lizMov.mat",2293,1687,1038,649,
PV_106_block_012,PV_106,012,"/Volumes/Data-1/Nimrod/experiments/PV_106/2025_08_06/block_012/oe_files/PV106_ET_d3t5_2025-08-06_13-21-30/Record Node 102/analysis/recNames=Block012,Animal=PV_106/lizMov.mat",1419,1089,495,594,
PV_143_block_001,PV_143,001,"/Volumes/Data-1/Nimrod/experiments/PV_143/2025_08_25/block_001/oe_files/PV143_ET_d1t1_2025-08-11_13-29-08/Record Node 102/analysis/recNames=Block001,Animal=PV_143/lizMov.mat",1143,781,554,227,
PV_143_block_002,PV_143,002,"/Volumes/Data-1/Nimrod/experiments/PV_143/2025_08_25/block_002/oe_files/PV143_ET_d1t2_2025-08-11_13-50-11/Record Node 102/analysis/recNames=Block002,Animal=PV_143/lizMov.mat",700,501,245,256,
PV_143_block_003,PV_143,003,"/Volumes/Data-1/Nimrod/experiments/PV_143/2025_08_25/block_003/oe_files/PV143_ET_d1t3_2025-08-11_14-20-35/Record Node 102/analysis/recNames=Block003,Animal=PV_143/lizMov.mat",951,686,514,172,
PV_143_block_004,PV_143,004,"/Volumes/Data-1/Nimrod/experiments/PV_143/2025_08_25/block_004/oe_files/PV143_ET_d1t4_2025-08-11_14-58-28/Record Node 103/analysis/recNames=Block004,Animal=PV_143/lizMov.mat",518,389,248,141,
PV_62_block_024,PV_62,024,"/Volumes/Data-1/Nimrod/experiments/PV_62/2023_04_27/block_024/oe_files/2023-04-27_11-22-56/Record Node 108/analysis/recNames=Block0024,Animal=PV_62/lizMov.mat",1376,964,760,204,
PV_62_block_026,PV_62,026,"/Volumes/Data-1/Nimrod/experiments/PV_62/2023_04_27/block_026/oe_files/2023-04-27_12-21-41/Record Node 108/analysis/recNames=Block0026,Animal=PV_62/lizMov.mat",1450,1027,799,228,
PV_62_block_038,PV_62,038,"/Volumes/Data-1/Nimrod/experiments/PV_62/2023_05_01/block_038/oe_files/2023-05-01_13-57-45/Record Node 108/analysis/recNames=Block0038,Animal=PV_62/lizMov.mat",2958,2280,240,2040,
PV_126_block_007,PV_126,007,"/Volumes/Data-1/Nimrod/experiments/PV_126/2024_07_18/block_007/oe_files/PV126_Trial16_wake3_2024-07-18_12-49-12/Record Node 102/analysis/Animal=PV_126,recNames=block_007/lizMov.mat",3759,2536,2211,325,
PV_126_block_008,PV_126,008,"/Volumes/Data-1/Nimrod/experiments/PV_126/2024_07_18/block_008/oe_files/PV126_Trial16_wake4_2024-07-18_13-24-41/Record Node 102/analysis/recNames=block_008,Animal=PV_126/lizMov.mat",1021,750,415,335,
PV_126_block_009,PV_126,009,"/Volumes/Data-1/Nimrod/experiments/PV_126/2024_07_18/block_009/oe_files/PV126_Trial18_wake5_2024-07-18_14-39-15/Record Node 102/analysis/recNames=block_009,Animal=PV_126/lizMov.mat",1124,811,250,561,
PV_126_block_010,PV_126,010,"/Volumes/Data-1/Nimrod/experiments/PV_126/2024_07_18/block_010/oe_files/PV126_Trial19_wake6_2024-07-18_15-24-57/Record Node 102/analysis/recNames=block_010,Animal=PV_126/lizMov.mat",662,483,115,368,
PV_126_block_011,PV_126,011,"/Volumes/Data-1/Nimrod/experiments/PV_126/2024_08_13/block_011/oe_files/PV126_Trial115_eyeTracking_w7/Record Node 102/analysis/recNames=block_011,Animal=PV_126/lizMov.mat",2382,1628,814,814,
PV_126_block_012,PV_126,012,"/Volumes/Data-1/Nimrod/experiments/PV_126/2024_08_13/block_012/oe_files/PV126_Trial116_eyeTracking_h8/Record Node 102/analysis/recNames=block_012,Animal=PV_126/lizMov.mat",250,172,126,46,
PV_57_block_007,PV_57,007,,3340,0,0,0,no lizMov.mat
PV_57_block_008,PV_57,008,,2098,0,0,0,no lizMov.mat
PV_57_block_009,PV_57,009,,1750,0,0,0,no lizMov.mat
PV_57_block_012,PV_57,012,,1580,0,0,0,no lizMov.mat
PV_57_block_013,PV_57,013,,2320,0,0,0,no lizMov.mat
